delta_a,I1,I2,I3,I_mean,gamma,B_c
10,14.0,14.0,13.0,13.7,0.35,8.19
20,23.0,22.0,22.0,22.3,0.53,13.39
30,27.0,27.0,27.0,27.0,0.65,16.19
40,29.0,30.0,29.0,29.3,0.74,17.58
50,33.0,31.0,31.0,31.7,0.82,18.98
60,34.0,34.0,34.0,34.0,0.88,20.38
70,36.0,36.0,37.0,36.3,0.94,21.78
80,37.0,37.0,38.0,37.3,1.0,22.38
90,39.0,39.0,39.0,39.0,1.06,23.38
100,41.0,41.0,42.0,41.3,1.14,24.78
110,43.0,43.0,44.0,43.3,1.23,25.98
120,46.0,46.0,46.0,46.0,1.35,27.57
130,48.0,48.0,47.0,47.7,1.53,28.57
140,51.0,51.0,52.0,51.3,1.88,30.77